row	column	plasmid_reads	plasmid_reads_log10	plasmid_reads_percent	extraction_protocol	well_type
A	1	4	0.602059991	0.012820513	MagMAX (2-min.)	sink
B	1	17	1.230448921	0.00050722	MagMAX (2-min.)	sink
C	1	9137	3.960803625	0.295848983	MagMAX (2-min.)	source
D	1	2	0.301029996	0.002915452	MagMAX (2-min.)	sink
E	1	9	0.954242509	0.000347786	MagMAX (2-min.)	sink
F	1	117	2.068185862	0.174366617	MagMAX (2-min.)	sink
G	1	1	0	0.001980198	MagMAX (2-min.)	sink
H	1	0	0	0	MagMAX (2-min.)	sink
A	2	3	0.477121255	0.00011199	MagMAX (2-min.)	sink
B	2	17	1.230448921	0.000485229	MagMAX (2-min.)	sink
C	2	3	0.477121255	0.000883392	MagMAX (2-min.)	sink
D	2	1	0	0.00093633	MagMAX (2-min.)	sink
E	2	2	0.301029996	0.021505376	MagMAX (2-min.)	sink
F	2	195	2.290034611	0.089326615	MagMAX (2-min.)	source
G	2	3	0.477121255	0.024193548	MagMAX (2-min.)	sink
H	2	2	0.301029996	0.009950249	MagMAX (2-min.)	sink
A	3	0	0	0	MagMAX (2-min.)	sink
B	3	14	1.146128036	0.000520678	MagMAX (2-min.)	sink
C	3	2906	3.46329561	0.110180095	MagMAX (2-min.)	source
D	3	26	1.414973348	0.001144316	MagMAX (2-min.)	sink
E	3	26	1.414973348	0.000951823	MagMAX (2-min.)	sink
F	3	366	2.563481085	0.017556483	MagMAX (2-min.)	sink
G	3	4	0.602059991	0.000219841	MagMAX (2-min.)	sink
H	3	3	0.477121255	0.000138122	MagMAX (2-min.)	sink
A	4	2	0.301029996	9.33E-05	MagMAX (2-min.)	sink
B	4	25	1.397940009	0.00088791	MagMAX (2-min.)	sink
C	4	7	0.84509804	0.000235786	MagMAX (2-min.)	sink
D	4	9	0.954242509	0.000326726	MagMAX (2-min.)	sink
E	4	19	1.278753601	0.000717171	MagMAX (2-min.)	sink
F	4	1529	3.184407485	0.094715976	MagMAX (2-min.)	source
G	4	4	0.602059991	0.000256921	MagMAX (2-min.)	sink
H	4	7	0.84509804	0.000386335	MagMAX (2-min.)	sink
