sample_name	sample_name_noQiitaPrepID	sample_name_noQiitaIDs	alpha_16S_rar5k_richness	alpha_16S_rar5k_shannon	alpha_16S_rar5k_faithspd	sample_name_shotgun	alpha_shotgun_rar35k_20k_richness	alpha_shotgun_rar35k_20k_shannon	alpha_shotgun_rar35k_20k_faithspd	bead_beating	biomass_plate	biomass_sample	biomass_sample_long	biomass_sample_3groups	collection_timestamp	description	dna_conc	dna_ng_ul	dna_extracted	shotgun_lib_ng_ul	rna_ng_ul	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	extraction_protocol	extraction_protocol_short	extraction_kit	extraction_kit_id	extraction_vendor	fresh_frozen	gdna_well_id	gdna_well_row	gdna_well_column	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_taxid	host_weight	host_weight_units	incubation	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qc_16s_concentration	qc_230	qc_260	qc_260_230	qc_260_280	qc_280	qc_blank_230	qc_blank_260	qc_blank_280	qc_blank_320	qc_raw_230	qc_raw_260	qc_raw_280	qc_raw_320	qiita_study_id	round	sample_number	sample_technical_replicate	sample_type	sample_type_2	sample_type_3	host_subject_id	unique_sample_id	scientific_name	sex	storage_solution	swab_type	taxon_id	title	read_count_16s	read_count_shotgun
91743.12201.soil.bare.M.3.microbiome2.H	12201.soil.bare.M.3.microbiome2.H	soil.bare.M.3.microbiome2.H	1550	10.02331107	105.9600705	soil_bare_M_3_microbiome2_H	NA	NA	NA	2 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	1.668	TRUE	3.112	0.68	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	G8	G	8	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	No incubation	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	3	soil	bare soil	bare soil site 1	soil.no.tree.site.1	soil.bare.M.3	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	6481	18692
90990.12201.soil.bare.M.1.microbiome20.H	12201.soil.bare.M.1.microbiome20.H	soil.bare.M.1.microbiome20.H	1760	10.0702898	110.4180671	soil_bare_M_1_microbiome20_H	NA	NA	NA	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	2.53	TRUE	4.337	0.504	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	E8	E	8	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	soil	bare soil	bare soil site 1	soil.no.tree.site.1	soil.bare.M.1	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	10229	16575
90990.12201.soil.bare.M.3.microbiome20.H	12201.soil.bare.M.3.microbiome20.H	soil.bare.M.3.microbiome20.H	1613	9.752785312	104.8302077	soil_bare_M_3_microbiome20_H	497	2.328183936	77.96587062	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	2.102	TRUE	1.082	0.783	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	G8	G	8	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	3	soil	bare soil	bare soil site 1	soil.no.tree.site.1	soil.bare.M.3	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	10334	73557
91743.12201.soil.bare.M.1.qiagen.H	12201.soil.bare.M.1.qiagen.H	soil.bare.M.1.qiagen.H	1588	9.258104142	95.11858125	soil_bare_M_1_qiagen_H	NA	NA	NA	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	2.157	TRUE	3.073	0.786	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	E8	E	8	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	soil	bare soil	bare soil site 1	soil.no.tree.site.1	soil.bare.M.1	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	10918	23334
91743.12201.soil.bare.M.3.qiagen.H	12201.soil.bare.M.3.qiagen.H	soil.bare.M.3.qiagen.H	1624	9.740597405	100.8270359	soil_bare_M_3_qiagen_H	NA	NA	NA	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	0	TRUE	1.211	0.629	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	G8	G	8	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	3	soil	bare soil	bare soil site 1	soil.no.tree.site.1	soil.bare.M.3	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	10112	21958
90990.12201.soil.bare.M.2.microbiome20.H	12201.soil.bare.M.2.microbiome20.H	soil.bare.M.2.microbiome20.H	NA	NA	NA	soil_bare_M_2_microbiome20_H	925	6.269907511	131.2064628	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	4.904	TRUE	2.207	0.528	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (20-min.)	MM (20-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	F8	F	8	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	soil	bare soil	bare soil site 1	soil.no.tree.site.1	soil.bare.M.2	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	819	50607
91743.12201.soil.bare.M.2.microbiome2.H	12201.soil.bare.M.2.microbiome2.H	soil.bare.M.2.microbiome2.H	NA	NA	NA	soil_bare_M_2_microbiome2_H	776	6.484163822	118.7180326	2 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	1.266	TRUE	2.99	0.656	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	F8	F	8	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	No incubation	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	soil	bare soil	bare soil site 1	soil.no.tree.site.1	soil.bare.M.2	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	673	81853
91743.12201.soil.bare.M.1.microbiome2.H	12201.soil.bare.M.1.microbiome2.H	soil.bare.M.1.microbiome2.H	NA	NA	NA	soil_bare_M_1_microbiome2_H	NA	NA	NA	2 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	2.157	TRUE	19.962	0.504	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	E8	E	8	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	No incubation	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	1	soil	bare soil	bare soil site 1	soil.no.tree.site.1	soil.bare.M.1	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	3919	20138
91743.12201.soil.bare.M.2.qiagen.H	12201.soil.bare.M.2.qiagen.H	soil.bare.M.2.qiagen.H	NA	NA	NA	soil_bare_M_2_qiagen_H	NA	NA	NA	20 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	0	TRUE	0.493	0.733	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	PowerSoil	PS	PowerSoil	standard	Qiagen	frozen one day at -80C	F8	F	8	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	10 min. at 65 degrees C	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	2	soil	bare soil	bare soil site 1	soil.no.tree.site.1	soil.bare.M.2	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	4226	22135
91743.12201.soil.bare.N.3.microbiome2.H	12201.soil.bare.N.3.microbiome2.H	soil.bare.N.3.microbiome2.H	1457	9.811140246	102.7873332	soil_bare_N_3_microbiome2_H	NA	NA	NA	2 min. at 30 Hz	high	high	High biomass	Medium biomass	5/12/20	NA	not collected	1.165	TRUE	2.52	0.328	193	Free-living	Non-saline	Soil (non-saline)	urban biome	plant-associated habitat	soil	soil	MagMAX (2-min.)	MM (2-min.)	MagMAX Microbiome	microbiome	Thermo	frozen one day at -80C	B9	B	9	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	No incubation	32.5	-117.25	UCSDMI	TRUE	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	not collected	12201	3	NA	3	soil	bare soil	bare soil site 2	soil.no.tree.site.2	soil.bare.N.3	soil metagenome	not applicable	None	SWUBE	410658	Knight sample set for testing	6248	27070
