,,R2.adj,Df,AIC,F,Pr(>F)
weighted_unifrac,sample_type_2,0.755834964801009,24,-165.41889519484502,79.55060908370741,0.0001999600079984
weighted_unifrac,host_subject_id,0.06332483376260101,30,-320.672235023927,7.82831720249467,0.0001999600079984
weighted_unifrac,extraction_protocol,0.0014308522731009132,2,-323.720069352528,3.21315950165021,0.0161967606478704
unweighted_unifrac,sample_type_2,0.8714152319749829,24,-556.585061434548,172.965636762381,0.0001999600079984
unweighted_unifrac,host_subject_id,0.011122612326085135,30,-583.885755024308,2.84647505460881,0.0001999600079984
unweighted_unifrac,extraction_protocol,0.0012217517433519287,2,-588.465905425621,3.91668040752732,0.0037992401519696102
jaccard,sample_type_2,0.8899415169770741,24,-651.486709256247,206.18423817080398,0.0001999600079984
jaccard,host_subject_id,0.021597189142235962,30,-756.851928148696,5.760784856273871,0.0001999600079984
jaccard,extraction_protocol,0.0010697063834909093,2,-762.475401701803,4.396705906370371,0.0007998400319936009
RPCA,sample_type_2,0.8576734928257471,24,-495.49859762682604,154.163326416059,0.0001999600079984
RPCA,host_subject_id,0.031243713422689945,30,-619.042659649226,6.49404501134061,0.0001999600079984
RPCA,extraction_protocol,0.0014258145600029026,2,-625.137783651307,4.614694209188901,0.0001999600079984
