sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
90990.12201.oral.saliva.Q.2.microbiome2.C	90990.12201.oral.saliva.Q.1.microbiome2.C	0.029096696287760685	human.saliva.Q	MM (2-min.)	human.saliva.Q	MM (2-min.)	human	human saliva	high	High biomass
90990.12201.oral.saliva.Q.2.microbiome2.C	90990.12201.oral.saliva.Q.3.microbiome2.C	0.02512015530092213	human.saliva.Q	MM (2-min.)	human.saliva.Q	MM (2-min.)	human	human saliva	high	High biomass
90990.12201.oral.saliva.Q.2.microbiome2.C	91743.12201.oral.human.Q.2.microbiome2.H	0.07814735381277597	human.saliva.Q	MM (2-min.)	human.saliva.Q	MM (2-min.)	human	human saliva	high	High biomass
90990.12201.oral.saliva.Q.2.microbiome2.C	91743.12201.oral.human.Q.1.microbiome2.H	0.07714868972125037	human.saliva.Q	MM (2-min.)	human.saliva.Q	MM (2-min.)	human	human saliva	high	High biomass
90990.12201.oral.saliva.Q.2.microbiome2.C	91743.12201.oral.human.Q.3.microbiome2.H	0.07898437309031782	human.saliva.Q	MM (2-min.)	human.saliva.Q	MM (2-min.)	human	human saliva	high	High biomass
90990.12201.oral.throat.D.1.1.microbiome2.C	90990.12201.oral.throat.D.2.1.microbiome2.C	0.2036571419250581	human throat D	MM (2-min.)	human throat D	MM (2-min.)	human	human throat	high	High biomass
90990.12201.oral.saliva.D.3.microbiome2.C	90990.12201.oral.saliva.D.2.microbiome2.C	0.03361877476178546	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
90990.12201.oral.saliva.D.3.microbiome2.C	90990.12201.oral.saliva.D.1.microbiome2.C	0.03648177718854029	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
90990.12201.oral.saliva.D.3.microbiome2.C	91743.12201.oral.human.D.2.microbiome2.H	0.0615786887616343	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
90990.12201.oral.saliva.D.3.microbiome2.C	91743.12201.oral.human.D.1.microbiome2.H	0.07148387297962318	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
