sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
food_sourkraut_1_1_microbiome20_H	food_sourkraut_1_2_microbiome20_H	0.3961218836565097	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome20_H	food_sourkraut_1_3_microbiome20_H	0.5904365904365905	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome2_H	food_sourkraut_1_2_microbiome2_H	0.44946236559139785	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome2_H	food_sourkraut_1_3_microbiome2_H	0.4673684210526316	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_qiagen_H	food_sourkraut_1_2_qiagen_H	0.40253164556962023	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_1_1_qiagen_H	food_sourkraut_1_3_qiagen_H	0.43427230046948356	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_1_2_microbiome20_H	food_sourkraut_1_3_microbiome20_H	0.49776785714285715	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_2_microbiome2_H	food_sourkraut_1_3_microbiome2_H	0.32425742574257427	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_2_qiagen_H	food_sourkraut_1_3_qiagen_H	0.32132963988919666	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome20_H	food_sourkraut_2_2_microbiome20_H	0.3591682419659735	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome20_H	food_sourkraut_2_3_microbiome20_H	0.3425196850393701	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome2_H	food_sourkraut_2_2_microbiome2_H	0.30406852248394006	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome2_H	food_sourkraut_2_3_microbiome2_H	0.29809725158562367	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_qiagen_H	food_sourkraut_2_2_qiagen_H	0.3691148775894539	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_sourkraut_2_1_qiagen_H	food_sourkraut_2_3_qiagen_H	0.3813868613138686	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_sourkraut_2_2_microbiome20_H	food_sourkraut_2_3_microbiome20_H	0.32727272727272727	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_2_microbiome2_H	food_sourkraut_2_3_microbiome2_H	0.30176211453744495	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_2_qiagen_H	food_sourkraut_2_3_qiagen_H	0.370304114490161	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_yogurt_3_1_microbiome20_H	food_yogurt_3_2_microbiome20_H	0.5782747603833865	Yoplait strawberry	MM (20-min.)	Yoplait strawberry	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_3_1_microbiome20_H	food_yogurt_3_3_microbiome20_H	0.5	Yoplait strawberry	MM (20-min.)	Yoplait strawberry	MM (20-min.)	food	yogurt	high	High biomass
