sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
food_sourkraut_1_1_microbiome20_H	food_sourkraut_1_2_microbiome20_H	0.2656252657012887	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome20_H	food_sourkraut_1_3_microbiome20_H	0.7209125466270573	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome2_H	food_sourkraut_1_2_microbiome2_H	0.1618210223741527	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome2_H	food_sourkraut_1_3_microbiome2_H	0.24413770008804134	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_qiagen_H	food_sourkraut_1_2_qiagen_H	0.8521312233871374	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_1_1_qiagen_H	food_sourkraut_1_3_qiagen_H	0.39271702735663544	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_1_2_microbiome20_H	food_sourkraut_1_3_microbiome20_H	0.6180453942514135	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_2_microbiome2_H	food_sourkraut_1_3_microbiome2_H	0.33571698555390006	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_2_qiagen_H	food_sourkraut_1_3_qiagen_H	0.920350042384813	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome20_H	food_sourkraut_2_2_microbiome20_H	0.3638953558772392	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome20_H	food_sourkraut_2_3_microbiome20_H	0.5766376192244544	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome2_H	food_sourkraut_2_2_microbiome2_H	0.09540435814383558	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome2_H	food_sourkraut_2_3_microbiome2_H	0.15210574669174565	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_qiagen_H	food_sourkraut_2_2_qiagen_H	0.12176615832409882	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_sourkraut_2_1_qiagen_H	food_sourkraut_2_3_qiagen_H	0.408493554408699	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_sourkraut_2_2_microbiome20_H	food_sourkraut_2_3_microbiome20_H	0.39451756490653134	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_2_microbiome2_H	food_sourkraut_2_3_microbiome2_H	0.08018495178281655	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_2_qiagen_H	food_sourkraut_2_3_qiagen_H	0.30751148933961114	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_yogurt_3_1_microbiome20_H	food_yogurt_3_2_microbiome20_H	0.35199251984680235	Yoplait strawberry	MM (20-min.)	Yoplait strawberry	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_3_1_microbiome20_H	food_yogurt_3_3_microbiome20_H	0.8119388812940214	Yoplait strawberry	MM (20-min.)	Yoplait strawberry	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_3_1_microbiome2_H	food_yogurt_3_2_microbiome2_H	0.6156857143236493	Yoplait strawberry	MM (2-min.)	Yoplait strawberry	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_3_1_microbiome2_H	food_yogurt_3_3_microbiome2_H	0.1907643878309205	Yoplait strawberry	MM (2-min.)	Yoplait strawberry	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_3_1_qiagen_H	food_yogurt_3_2_qiagen_H	0.47283733016306917	Yoplait strawberry	PS	Yoplait strawberry	PS	food	yogurt	high	High biomass
food_yogurt_3_1_qiagen_H	food_yogurt_3_3_qiagen_H	0.8689167730266498	Yoplait strawberry	PS	Yoplait strawberry	PS	food	yogurt	high	High biomass
food_yogurt_3_2_microbiome20_H	food_yogurt_3_3_microbiome20_H	0.8606013213051013	Yoplait strawberry	MM (20-min.)	Yoplait strawberry	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_3_2_microbiome2_H	food_yogurt_3_3_microbiome2_H	0.42642878420771874	Yoplait strawberry	MM (2-min.)	Yoplait strawberry	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_3_2_qiagen_H	food_yogurt_3_3_qiagen_H	0.8808910253471067	Yoplait strawberry	PS	Yoplait strawberry	PS	food	yogurt	high	High biomass
