sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
food_sourkraut_1_1_microbiome20_H	food_sourkraut_1_2_microbiome20_H	0.2730841590220746	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome20_H	food_sourkraut_1_3_microbiome20_H	0.47898863409304854	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome2_H	food_sourkraut_1_2_microbiome2_H	0.5193193807500851	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome2_H	food_sourkraut_1_3_microbiome2_H	0.5508440923893441	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_qiagen_H	food_sourkraut_1_2_qiagen_H	0.5428935299212042	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_1_1_qiagen_H	food_sourkraut_1_3_qiagen_H	0.5410228453680479	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_1_2_microbiome20_H	food_sourkraut_1_3_microbiome20_H	0.4328712210748478	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_2_microbiome2_H	food_sourkraut_1_3_microbiome2_H	0.3175868550254518	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_2_qiagen_H	food_sourkraut_1_3_qiagen_H	0.36441174459867165	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome20_H	food_sourkraut_2_2_microbiome20_H	0.3764938301886129	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome20_H	food_sourkraut_2_3_microbiome20_H	0.36644541864147306	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome2_H	food_sourkraut_2_2_microbiome2_H	0.34396485227477386	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome2_H	food_sourkraut_2_3_microbiome2_H	0.3631080891672295	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_qiagen_H	food_sourkraut_2_2_qiagen_H	0.3779355979821274	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_sourkraut_2_1_qiagen_H	food_sourkraut_2_3_qiagen_H	0.40497167825466013	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_sourkraut_2_2_microbiome20_H	food_sourkraut_2_3_microbiome20_H	0.37261328879945793	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_2_microbiome2_H	food_sourkraut_2_3_microbiome2_H	0.35078851169841	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_2_qiagen_H	food_sourkraut_2_3_qiagen_H	0.3757981110245017	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_yogurt_3_1_microbiome20_H	food_yogurt_3_2_microbiome20_H	0.5949398802302951	Yoplait strawberry	MM (20-min.)	Yoplait strawberry	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_3_1_microbiome20_H	food_yogurt_3_3_microbiome20_H	0.4124340079316711	Yoplait strawberry	MM (20-min.)	Yoplait strawberry	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_3_1_microbiome2_H	food_yogurt_3_2_microbiome2_H	0.6394495309700008	Yoplait strawberry	MM (2-min.)	Yoplait strawberry	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_3_1_microbiome2_H	food_yogurt_3_3_microbiome2_H	0.35890884574055876	Yoplait strawberry	MM (2-min.)	Yoplait strawberry	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_3_1_qiagen_H	food_yogurt_3_2_qiagen_H	0.6030906053147888	Yoplait strawberry	PS	Yoplait strawberry	PS	food	yogurt	high	High biomass
food_yogurt_3_1_qiagen_H	food_yogurt_3_3_qiagen_H	0.6055499116852104	Yoplait strawberry	PS	Yoplait strawberry	PS	food	yogurt	high	High biomass
food_yogurt_3_2_microbiome20_H	food_yogurt_3_3_microbiome20_H	0.6117220787513794	Yoplait strawberry	MM (20-min.)	Yoplait strawberry	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_3_2_microbiome2_H	food_yogurt_3_3_microbiome2_H	0.6334304158643652	Yoplait strawberry	MM (2-min.)	Yoplait strawberry	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_3_2_qiagen_H	food_yogurt_3_3_qiagen_H	0.6804225867305262	Yoplait strawberry	PS	Yoplait strawberry	PS	food	yogurt	high	High biomass
food_yogurt_4_1_microbiome20_H	food_yogurt_4_2_microbiome20_H	0.43883541362351813	Yoplait mango	MM (20-min.)	Yoplait mango	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_4_1_microbiome20_H	food_yogurt_4_3_microbiome20_H	0.48299811568647594	Yoplait mango	MM (20-min.)	Yoplait mango	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_4_1_microbiome2_H	food_yogurt_4_2_microbiome2_H	0.3609151003583713	Yoplait mango	MM (2-min.)	Yoplait mango	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_4_1_microbiome2_H	food_yogurt_4_3_microbiome2_H	0.3436858109004263	Yoplait mango	MM (2-min.)	Yoplait mango	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_4_1_qiagen_H	food_yogurt_4_2_qiagen_H	0.4454577734610793	Yoplait mango	PS	Yoplait mango	PS	food	yogurt	high	High biomass
food_yogurt_4_1_qiagen_H	food_yogurt_4_3_qiagen_H	0.49685457684371254	Yoplait mango	PS	Yoplait mango	PS	food	yogurt	high	High biomass
food_yogurt_4_2_microbiome20_H	food_yogurt_4_3_microbiome20_H	0.4243165902329859	Yoplait mango	MM (20-min.)	Yoplait mango	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_4_2_microbiome2_H	food_yogurt_4_3_microbiome2_H	0.3862194675034477	Yoplait mango	MM (2-min.)	Yoplait mango	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_4_2_qiagen_H	food_yogurt_4_3_qiagen_H	0.41040335153441204	Yoplait mango	PS	Yoplait mango	PS	food	yogurt	high	High biomass
oral_human_A_1_microbiome20_H	oral_human_A_2_microbiome20_H	0.34424996324031654	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_human_A_3_microbiome20_H	0.3204442786670915	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.34830139133086346	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.3381355243366581	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.3623205863243357	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_human_A_2_microbiome2_H	0.3637454886080785	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_human_A_3_microbiome2_H	0.36145971384348663	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.33039611973273	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.35800931758082827	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.3477271454440262	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_human_A_2_qiagen_H	0.36683775557716347	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_human_A_3_qiagen_H	0.36597363026834095	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_1_qiagen_C	0.34048441116083966	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_2_qiagen_C	0.33326511517263024	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_1_qiagen_H	oral_saliva_A_3_qiagen_C	0.33702426592983276	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_human_A_3_microbiome20_H	0.34135327207508953	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.34800752020244313	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.36066994936475605	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.30212791205507916	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_human_A_3_microbiome2_H	0.3206987590817825	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.34679879489327525	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.3639884726476538	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.3651343528874054	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_human_A_3_qiagen_H	0.35926904720154146	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_saliva_A_1_qiagen_C	0.35456486389519243	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_saliva_A_2_qiagen_C	0.33559854181938686	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_2_qiagen_H	oral_saliva_A_3_qiagen_C	0.32003591825382205	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_3_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.336307446424596	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.3420223793557226	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.3500580882538304	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.33508846871023656	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.35410309576705884	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.3841466339810802	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_1_qiagen_C	0.34450751809953856	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_2_qiagen_C	0.31478870143908805	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_A_3_qiagen_H	oral_saliva_A_3_qiagen_C	0.32750043103750903	human.saliva.A	PS	human.saliva.A	PS	human	human saliva	high	High biomass
oral_human_B_1_microbiome20_H	oral_human_B_2_microbiome20_H	0.3730628992317118	human.saliva.B	MM (20-min.)	human.saliva.B	MM (20-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome20_H	oral_human_B_3_microbiome20_H	0.3679510791138768	human.saliva.B	MM (20-min.)	human.saliva.B	MM (20-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome2_H	oral_human_B_2_microbiome2_H	0.3685583970632436	human.saliva.B	MM (2-min.)	human.saliva.B	MM (2-min.)	human	human saliva	high	High biomass
oral_human_B_1_microbiome2_H	oral_human_B_3_microbiome2_H	0.36804971166202166	human.saliva.B	MM (2-min.)	human.saliva.B	MM (2-min.)	human	human saliva	high	High biomass
oral_human_B_1_qiagen_H	oral_human_B_2_qiagen_H	0.3832358174504755	human.saliva.B	PS	human.saliva.B	PS	human	human saliva	high	High biomass
oral_human_B_1_qiagen_H	oral_human_B_3_qiagen_H	0.42437922351555946	human.saliva.B	PS	human.saliva.B	PS	human	human saliva	high	High biomass
