sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
food_sourkraut_1_1_microbiome20_H	food_sourkraut_1_2_microbiome20_H	0.27678771780615746	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome20_H	food_sourkraut_1_3_microbiome20_H	1.83929875045824	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome2_H	food_sourkraut_1_2_microbiome2_H	0.3193818078964285	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_microbiome2_H	food_sourkraut_1_3_microbiome2_H	0.31928569353574965	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_1_qiagen_H	food_sourkraut_1_2_qiagen_H	0.03160066415401902	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_1_1_qiagen_H	food_sourkraut_1_3_qiagen_H	0.03640681410158999	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_1_2_microbiome20_H	food_sourkraut_1_3_microbiome20_H	1.5754631375385586	sourkraut classic caraway	MM (20-min.)	sourkraut classic caraway	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_2_microbiome2_H	food_sourkraut_1_3_microbiome2_H	0.010298351814212835	sourkraut classic caraway	MM (2-min.)	sourkraut classic caraway	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_1_2_qiagen_H	food_sourkraut_1_3_qiagen_H	0.020627873408216313	sourkraut classic caraway	PS	sourkraut classic caraway	PS	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome20_H	food_sourkraut_2_2_microbiome20_H	0.03937358484191755	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome20_H	food_sourkraut_2_3_microbiome20_H	0.0663202454921137	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome2_H	food_sourkraut_2_2_microbiome2_H	0.013160977444040774	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_microbiome2_H	food_sourkraut_2_3_microbiome2_H	0.028102976317584964	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_1_qiagen_H	food_sourkraut_2_2_qiagen_H	0.02780123267956968	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_sourkraut_2_1_qiagen_H	food_sourkraut_2_3_qiagen_H	0.06650987833538043	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_sourkraut_2_2_microbiome20_H	food_sourkraut_2_3_microbiome20_H	0.0637727521100676	sourkraut gnar gnar	MM (20-min.)	sourkraut gnar gnar	MM (20-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_2_microbiome2_H	food_sourkraut_2_3_microbiome2_H	0.03108559378344235	sourkraut gnar gnar	MM (2-min.)	sourkraut gnar gnar	MM (2-min.)	food	sourkraut	high	High biomass
food_sourkraut_2_2_qiagen_H	food_sourkraut_2_3_qiagen_H	0.04814878302293241	sourkraut gnar gnar	PS	sourkraut gnar gnar	PS	food	sourkraut	high	High biomass
food_yogurt_3_1_microbiome20_H	food_yogurt_3_2_microbiome20_H	0.24768883339370565	Yoplait strawberry	MM (20-min.)	Yoplait strawberry	MM (20-min.)	food	yogurt	high	High biomass
