sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
built_doorknob_B_1_microbiome20_L	built_doorknob_B_2_microbiome20_L	0.685981308411215	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome20_L	built_doorknob_B_3_microbiome20_L	0.7003676470588235	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome2_L	built_doorknob_B_2_microbiome2_L	0.6427015250544662	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome2_L	built_doorknob_B_3_microbiome2_L	0.720679012345679	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_qiagen_L	built_doorknob_B_2_qiagen_L	0.6858475894245724	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_B_1_qiagen_L	built_doorknob_B_3_qiagen_L	0.7147058823529412	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_B_2_microbiome20_L	built_doorknob_B_3_microbiome20_L	0.688	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_2_microbiome2_L	built_doorknob_B_3_microbiome2_L	0.6786786786786787	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_2_qiagen_L	built_doorknob_B_3_qiagen_L	0.697841726618705	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_D_2_microbiome20_C	built_doorknob_D_3_microbiome20_C	0.7352941176470589	doorknob D EBU2 east	MM (20-min.)	doorknob D EBU2 east	MM (20-min.)	built environment	doorknob	low	Low biomass
built_floor_A_1_microbiome20_L	built_floor_A_2_microbiome20_L	0.4970014992503748	floor_site_1	MM (20-min.)	floor_site_1	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome20_L	built_floor_A_3_microbiome20_L	0.4934256055363322	floor_site_1	MM (20-min.)	floor_site_1	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome2_L	built_floor_A_2_microbiome2_L	0.5109170305676856	floor_site_1	MM (2-min.)	floor_site_1	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome2_L	built_floor_A_3_microbiome2_L	0.5160390516039052	floor_site_1	MM (2-min.)	floor_site_1	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_A_1_qiagen_L	built_floor_A_2_qiagen_L	0.5601816805450416	floor_site_1	PS	floor_site_1	PS	built environment	floor	low	Low biomass
