sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
built_doorknob_B_1_microbiome20_L	built_doorknob_B_2_microbiome20_L	0.23533347198203702	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome20_L	built_doorknob_B_3_microbiome20_L	0.4481411856783987	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome2_L	built_doorknob_B_2_microbiome2_L	0.1192208341555191	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome2_L	built_doorknob_B_3_microbiome2_L	0.43173392702225966	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_qiagen_L	built_doorknob_B_2_qiagen_L	0.3803040334011684	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_B_1_qiagen_L	built_doorknob_B_3_qiagen_L	0.1816794741953417	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_B_2_microbiome20_L	built_doorknob_B_3_microbiome20_L	0.32739418251111246	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_2_microbiome2_L	built_doorknob_B_3_microbiome2_L	0.33580295982180913	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_2_qiagen_L	built_doorknob_B_3_qiagen_L	0.2047972605715965	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_D_2_microbiome20_C	built_doorknob_D_3_microbiome20_C	0.28097396824361826	doorknob D EBU2 east	MM (20-min.)	doorknob D EBU2 east	MM (20-min.)	built environment	doorknob	low	Low biomass
built_floor_A_1_microbiome20_L	built_floor_A_2_microbiome20_L	0.23964313324450945	floor_site_1	MM (20-min.)	floor_site_1	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome20_L	built_floor_A_3_microbiome20_L	0.25555690933371455	floor_site_1	MM (20-min.)	floor_site_1	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome2_L	built_floor_A_2_microbiome2_L	0.19517162601171886	floor_site_1	MM (2-min.)	floor_site_1	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome2_L	built_floor_A_3_microbiome2_L	0.3817734599352554	floor_site_1	MM (2-min.)	floor_site_1	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_A_1_qiagen_L	built_floor_A_2_qiagen_L	0.1145618374504569	floor_site_1	PS	floor_site_1	PS	built environment	floor	low	Low biomass
