sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
built_doorknob_B_1_microbiome20_L	built_doorknob_B_2_microbiome20_L	0.5222702782756669	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome20_L	built_doorknob_B_3_microbiome20_L	0.5612873139695136	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome2_L	built_doorknob_B_2_microbiome2_L	0.47227893648248215	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome2_L	built_doorknob_B_3_microbiome2_L	0.589095575736769	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_qiagen_L	built_doorknob_B_2_qiagen_L	0.5639434213534775	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_B_1_qiagen_L	built_doorknob_B_3_qiagen_L	0.6170760331113915	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_B_2_microbiome20_L	built_doorknob_B_3_microbiome20_L	0.5435615275386122	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_2_microbiome2_L	built_doorknob_B_3_microbiome2_L	0.524290052817664	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_2_qiagen_L	built_doorknob_B_3_qiagen_L	0.5546795619239779	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_D_2_microbiome20_C	built_doorknob_D_3_microbiome20_C	0.5671354581932924	doorknob D EBU2 east	MM (20-min.)	doorknob D EBU2 east	MM (20-min.)	built environment	doorknob	low	Low biomass
built_floor_A_1_microbiome20_L	built_floor_A_2_microbiome20_L	0.40206737080715427	floor_site_1	MM (20-min.)	floor_site_1	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome20_L	built_floor_A_3_microbiome20_L	0.404845727346636	floor_site_1	MM (20-min.)	floor_site_1	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome2_L	built_floor_A_2_microbiome2_L	0.3824429799709616	floor_site_1	MM (2-min.)	floor_site_1	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome2_L	built_floor_A_3_microbiome2_L	0.4138129256343876	floor_site_1	MM (2-min.)	floor_site_1	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_A_1_qiagen_L	built_floor_A_2_qiagen_L	0.42042019043218437	floor_site_1	PS	floor_site_1	PS	built environment	floor	low	Low biomass
built_floor_A_2_microbiome20_L	built_floor_A_3_microbiome20_L	0.41210326256038066	floor_site_1	MM (20-min.)	floor_site_1	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_A_2_microbiome2_L	built_floor_A_3_microbiome2_L	0.41526058361250445	floor_site_1	MM (2-min.)	floor_site_1	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_B_1_microbiome20_L	built_floor_B_2_microbiome20_L	0.4178991131293572	floor_site_2	MM (20-min.)	floor_site_2	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_B_1_microbiome20_L	built_floor_B_3_microbiome20_L	0.4342878997656309	floor_site_2	MM (20-min.)	floor_site_2	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_B_1_microbiome2_L	built_floor_B_2_microbiome2_L	0.39715626164694007	floor_site_2	MM (2-min.)	floor_site_2	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_B_1_microbiome2_L	built_floor_B_3_microbiome2_L	0.41679282927616934	floor_site_2	MM (2-min.)	floor_site_2	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_B_2_microbiome20_L	built_floor_B_3_microbiome20_L	0.4130921143694766	floor_site_2	MM (20-min.)	floor_site_2	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_B_2_microbiome2_L	built_floor_B_3_microbiome2_L	0.43469883990790764	floor_site_2	MM (2-min.)	floor_site_2	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_C_1_microbiome2_C	built_floor_C_2_microbiome2_C	0.4495889507431154	floor_site_3	MM (2-min.)	floor_site_3	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_C_1_microbiome2_C	built_floor_C_3_microbiome2_C	0.4846714145025828	floor_site_3	MM (2-min.)	floor_site_3	MM (2-min.)	built environment	floor	low	Low biomass
