sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
built_doorknob_B_1_microbiome20_L	built_doorknob_B_2_microbiome20_L	0.20057096975915542	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome20_L	built_doorknob_B_3_microbiome20_L	0.07732802186339632	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome2_L	built_doorknob_B_2_microbiome2_L	0.11940275258636908	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_microbiome2_L	built_doorknob_B_3_microbiome2_L	0.3688848002228549	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_1_qiagen_L	built_doorknob_B_2_qiagen_L	0.4707798605329449	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_B_1_qiagen_L	built_doorknob_B_3_qiagen_L	0.4640547896202564	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_B_2_microbiome20_L	built_doorknob_B_3_microbiome20_L	0.1673114727500639	doorknob B BRF2 lab	MM (20-min.)	doorknob B BRF2 lab	MM (20-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_2_microbiome2_L	built_doorknob_B_3_microbiome2_L	0.30829089240990293	doorknob B BRF2 lab	MM (2-min.)	doorknob B BRF2 lab	MM (2-min.)	built environment	doorknob	low	Low biomass
built_doorknob_B_2_qiagen_L	built_doorknob_B_3_qiagen_L	0.5011120636346214	doorknob B BRF2 lab	PS	doorknob B BRF2 lab	PS	built environment	doorknob	low	Low biomass
built_doorknob_D_2_microbiome20_C	built_doorknob_D_3_microbiome20_C	0.41205224209677155	doorknob D EBU2 east	MM (20-min.)	doorknob D EBU2 east	MM (20-min.)	built environment	doorknob	low	Low biomass
built_floor_A_1_microbiome20_L	built_floor_A_2_microbiome20_L	0.2248978084999499	floor_site_1	MM (20-min.)	floor_site_1	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome20_L	built_floor_A_3_microbiome20_L	0.2444245457058904	floor_site_1	MM (20-min.)	floor_site_1	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome2_L	built_floor_A_2_microbiome2_L	0.3405843902686981	floor_site_1	MM (2-min.)	floor_site_1	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_A_1_microbiome2_L	built_floor_A_3_microbiome2_L	0.3775543362595914	floor_site_1	MM (2-min.)	floor_site_1	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_A_1_qiagen_L	built_floor_A_2_qiagen_L	0.27281679576506407	floor_site_1	PS	floor_site_1	PS	built environment	floor	low	Low biomass
built_floor_A_2_microbiome20_L	built_floor_A_3_microbiome20_L	0.33949257190065657	floor_site_1	MM (20-min.)	floor_site_1	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_A_2_microbiome2_L	built_floor_A_3_microbiome2_L	0.5681279700039868	floor_site_1	MM (2-min.)	floor_site_1	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_B_1_microbiome20_L	built_floor_B_2_microbiome20_L	0.1299346711111723	floor_site_2	MM (20-min.)	floor_site_2	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_B_1_microbiome20_L	built_floor_B_3_microbiome20_L	0.16852203112191078	floor_site_2	MM (20-min.)	floor_site_2	MM (20-min.)	built environment	floor	low	Low biomass
built_floor_B_1_microbiome2_L	built_floor_B_2_microbiome2_L	0.22119193319655317	floor_site_2	MM (2-min.)	floor_site_2	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_B_1_microbiome2_L	built_floor_B_3_microbiome2_L	0.6570421047549075	floor_site_2	MM (2-min.)	floor_site_2	MM (2-min.)	built environment	floor	low	Low biomass
built_floor_B_2_microbiome20_L	built_floor_B_3_microbiome20_L	0.1187378742110664	floor_site_2	MM (20-min.)	floor_site_2	MM (20-min.)	built environment	floor	low	Low biomass
